Topic,Count,Name,Representation,Representative_Docs
-1,9696,-1_girls_girl_nt_comment,"['girls', 'girl', 'nt', 'comment', 'moye', 'sex', 'hunch', 'kr', 'life', 'ladki']","['waiting 3years long time  move   waiting yea  move dumbass move madam  move live fucker boy married  continue waiting  relationship  praise patience depends person  move karle movies wait ug lamba karwane vichaar 3 years  world tour waiting  waiting love sewk opportunity 3 saal bada baccha paida duga depend alive time wait  nt force move   ofcourse move 3 saal 7 boyfriend ban jaye baat mahine mahine boyfriend change choice h  aapko wait h move h  doosro khudki advice lo wait kr mbhi krraha 6 year samne pyaar krta h 22 saal wait skta h pr samne interested h wait kr mtlb move  things life   congratulations aapka kat chuka h 3 years  waiting  nt forget clown makeup 3saal logo zindagi khatam jati  wait karoge  guygirl worth waiting  judge  3 years pretty long time  wanted back  ve   abut prsn reliable worth move buddy  hare efforts unnoticed jaarhe h heshe worth  7 saal wait krke personal experience move krlo 3 din wait move love cuz 3 sal yar wait  chai pee    kisiko pyar aaisa bass bass move aaise past', 'life short  explore   hunch dhood  jaldi comment kro thoughts match kre  goss kro  fast  plz  boys approach kre jaroori  girls approach kra kro m commenting interested yha time pass aayi pr galtise time waste horha h idhar life  beautiful elegant wow   moye moye   juz bored  wanted make friends life short   exploring life different ways  crazy  bs life cheej kami feel h female frnd emotional support  kami jae  gf bnana chahta breakup time pain h  ladke goss aapas ladkiyaan dur baat life short dhatt maa ch ', 'control texting badly wan talk faced comments smjh khudko smjha   text great conversation helps control useless thoughts  drink sleep instant texting nt control fuck chla jaunga bs practical hoke sochlo end possibly  mene turned mene kulhadi marli badly wan talk  phone doori bnao usko freezer signal aate send mtlb hai control happened nt found person interest  controlled remebering behaviour everytime wanted badly text w irritate stopmyself spamming chatss block find alternative cuz u control urself talking obv  smthng wrong  block  delete number phone  ik s difficult  stop texting leave  option things hurting  hurts back  control h jb bat h  internet  text keya  send keya  delete keya  internet selfrespect yaad aa jaati   yoga hoga yo situation  genuinely text end conversation emoji text back end conversation emoji  routine respect zero back  found busy avoid thoughts  eventually worked nt control text malum rakib kamjor kr bichadne taklif  words  option mann marr kr jeena sikhna padta  mushkil h pr option pta  control shayad hi block user consequences darr  nt make busy things pta purane chats padhke make busy matters block control texting']"
0,361,0_song_songs_music_singh,"['song', 'songs', 'music', 'singh', 'arijit', 'dil', 'singer', 'listen', 'rap', 'pop']","['music     rap music pop music rap music sad songs lagna bass  pop', 'favourite song  singer comment box s check night changes favourite songs cuff big boi deep   tagde nu hoke tagde milida   bahane  arjit singh akcent  rihana  zayn dusk till dawn salena  love song    cid479368cac4e1orzxbgp27q1cadpf6dpz45gc2msc0llcl36h    ctg    kahanuraan aziyatprats white ferrari godspeed  frank ocean legend say randi babu randi dafa 406   chotu shikari  fav song  bewajah sanam kasam   fav singer kk sir  favourite song  love shubh  currently  favourite singer  diljit dosanjh    cid479368cakye6z3mdgiun7eru5ueyarmm1x3wlzcbl1jhhwu1    ctg    aziyat prats nightlight illenium fav singer arijit nd billiee desikalakar modi ji  sensational  chris brown', 'favourite song  singer  lmkic cmnt song   tarha singer  atif aslam arijit singh']"
1,301,1_cricket_australia_football_india,"['cricket', 'australia', 'football', 'india', 'cup', 'team', 't20', 'match', 'rcb', 'virat']","['u cricket', 'cricket world cup finals phir  india vs australia  nah  ', 'win t20 world cup  india australia']"
2,284,2_pizza_chicken_food_burger,"['pizza', 'chicken', 'food', 'burger', 'biryani', 'roti', 'breakfast', 'pasta', 'veg', 'momos']","['biryani burger  comments comment burger  khana  bahar khana kha biriyani pasta   cid479368cax4srbex36flfvpq78tmakwerc7ice6w2exzejjgl    ctg    biryani ofc momo chole bathure burger  mcdonaldsburger king biryani  kha pet gurber  biryani  burger biryaani  pav bhaji   biryani  biryani laga zehar daal ache bass boht hogya  maa hath roti  biryani belan biryani burger biryani  khichdi  mummy haath roti  dal chawal biryani emotion  fried rice chilli chicken', 'favourite food  burger pizza junk food pasta momos', 'favorite food biryani pizza ice cream choice pizza lover chicken biryani  beat  ']"
3,252,3_anime_naruto_piece_kaisen,"['anime', 'naruto', 'piece', 'kaisen', 'aot', 'jujutsu', 'slayer', 'demon', 'note', 'death']","['favorite  demon slayer naruto jujutsu kaisen op naruto kyoki 1st anime h mene demon slayer 2nd ni dragon ball piece op naruto soft corner heart piece', 'favourite anime  comment character anime', 'anime love  piece naruto']"
4,227,4_parents_mom_family_dad,"['parents', 'mom', 'family', 'dad', 'child', 'sister', 'father', 'siblings', 'mother', 'relatives']","['important life  parents teacher parents ofcourse parents  party', 'mom dad cheating dad mom cheating  dad  mom s cheater  mom  dad s cheater  mom dad create chutiya child mom n dad cheating  mom', 'love family  siblings grandparents mother father family cousin sister ']"
5,213,5_love_sight_lust_attraction,"['love', 'sight', 'lust', 'attraction', 'believe', 'sided', 'loves', 'fall', 'feeling', 'nt']","['believe love sight  boy girl believe love 1st night  nah believe aakh dikhata mc vsa din h love sight sb krte  hmko love   nahh believe hate sight s attraction love', 'love lmkic ', 'love  ']"
6,212,6_money_cash_paisa_buy,"['money', 'cash', 'paisa', 'buy', 'invest', 'knowledge', 'salary', 'important', 'bank', 'earn']","['choose 1  love family friendship money  nowadays money  happy family  ca nt love  money usai aayega  money  money s missing ', 'love book   love   money  family  money', 'arrange   love  sex  money  money  sex love  comment struggle  money  love money sex money sex']"
7,208,7_friends_friend_friendship_online,"['friends', 'friend', 'friendship', 'online', 'hunch', 'bestfriend', 'make', 'trip', 'follow', 'interested']","['find friends  friend  nt feel guy find friends  nt friend straight  question   jadooalien sale ', 'friend   ladki', 'friends    talk']"
8,186,8_delhi_mumbai_city_india,"['delhi', 'mumbai', 'city', 'india', 'maharashtra', 'state', 'hyderabad', 'bangalore', 'rajasthan', 'south']","['2nd biggest city india  area wise    kolkata mumbai hyderabad bangalore nt ohhh mumbai delhi', 'city live   lmkic delhi chandigarh kolkata mumbai', 'share states state mine rajasthan lmkic btana uttar pradesh west bengal belong uttarakhand currently living uttar pradesh  moradabad  rajasthan  jaipur  haryana aale burrrah kl axom make pole app maked yesterday 2 poles s working make poles andhra pradesh maharashtra gandhinagar  gujarat nearby cities gandhinagar  delhi gujarat   haryana delhi karnataka agra hnji delhi west bengal odisha delhi  delhi uttarakhand maharashtra assam goa gujarat uttarakhand hyderabad  telangana uttrakhand rajputon state rajput  ghamand  uttrakhand  mumbai  maharashtra punjab   hookup naya tarika   state puch  city puch  yar milna  hookup  direct oyo book karo  details aadhar card banana   west bengal m batayega s lmkic uttar pradesh haryana maharashtra maharashtra odisha uttar pardesh currently delhi mumbai kerala gujrat west bengal odisha          maharashtra city  gurgaon gujarat  surat  surat  uttar pradesh  odisha maharashtra himachal pradesh   jaipur  uttar pradesh mp chhattisgarh gujarat  west bengal  jharkhand border uttar pradesh delhi  ethiopia  rajasthan ganv kaam krta mumbai maharashtra uttrakhand  chattisgarh khammaghani gujarat gujrat tamilnadu mumbai bengal rehta bengali hoon  haryana rajsthan chhattisgarh ky currently telangana uttar pradesh tamil nadu maharashtra  uttar pradesh  prayagraj phnom penh  cambodia   kerala living karnataka rajasthan kidher h  yhi gujarat maharashtra  maharashtra guys    uttarakhand west bengal meghalaya  rajasthan west bengal  west bengal west bengal civilized state haryana maharashtra uttar pradesh maharashtra  rajasthan haryana']"
9,178,9_lick_pussy_licking_bite,"['lick', 'pussy', 'licking', 'bite', 'cum', 'anal', 'neck', 'swallow', 'lips', 'dick']","['bite ice cream lick  bite  lick course   swallow directly  friend s eyes bite icecream bite ice cream  fear  stay away  ca nt bite icecream   watch s slowly melt front eyes  drink khanee mh tharak lick girlfriend s pussy ice cream girls love lick  tooth  sensitivity problem bite yamraj yaad aa jate hain duniya chatne zyada  maza atah bite sensory teeth pain meh  s weird  boil krke licking  kr khata  garam soup pita', 'girl lick dick bite ride cum ride cum inside cum mouth pussy bite lick lick bite cum', 'boys  pussy  lick  lick  suck  fuck suck direct fuck  lick fingering fuck stare pet cat pet lick  finger  rub ur meat fuck love tongue dick ']"
10,178,10_girl_delhi_girls_boy,"['girl', 'delhi', 'girls', 'boy', 'mumbai', 'bangalore', 'follow', 'kolkata', 'city', 'pradesh']","['mumbai delhi  safe girls   mumbai pretty safe girls lot public late night  nt dk city  delhi mumbai delhi  delhi kitchen delhi safe  mumbai', 'state india beautiful girls   mumbai himachal delhi punjab tyy himachal punjab  im punjab hp real natural beauty  ese pakshpat krte sb equally beautiful mante h  girls beautiful delhi bengal punjab  jharkhand haryana assam manipur punjab uttarakhand gujarat haryana arunachal pradesh karnataka telangana odisha nagaland tripura haryana uttar pradesh maharashtra andhra pradesh madhya pradesh bihar rajasthan assam tamil nadu himachal pradesh   hamm pakshpat desh nari sundar  kuchkuch dil sundar baat seh lenge   offence   kolkata sb', 'kolkata girl bengali girl mumbai girl delhi girl delhi bs  mumbai anytime  jay maharashtra ']"
11,167,11_scorpio_anda_murgi_kohli,"['scorpio', 'anda', 'murgi', 'kohli', 'lai', 'ha', 'jain', 'kutta', 'pinterest', 'virat']","['virat kohli sachin tendulkar virat kohli sachin tendulkar virat kohli viratt', 'murgi aayi anda  anda murgi', 'murgi anda  anda murgi murgi anda  anda phele living atom murgi bina anda banega ']"
12,160,12_wear_dress_traditional_saree,"['wear', 'dress', 'traditional', 'saree', 'fashion', 'jeans', 'clothes', 'western', 'underwear', 'suit']","['guyss traditional wear western wear gurls    nt bs ladki', 'western wear traditional wear traditional ayo depends traditional dres street wear  traditional', 'outfit yall  question genders traditional western naked lmkic school uniform cute thaa girls traditional  semi formal   choose wear traditional clothes  outfits causal  western traditional fit  nzriya rkho bs  saree  salwar suit traditionals traditional  ']"
